clicks,impressions,datetime,quantity,total_price
4,11,2022-07-13T20:37:12.275Z,3,2.2
7,18,2022-07-13T20:37:12.275Z,10,6.2
1,11,2022-07-13T20:37:12.275Z,10,5.699999999999999
5,12,2022-07-13T20:37:12.275Z,9,1.7999999999999998
9,17,2022-07-13T20:37:12.275Z,4,5.4
9,15,2022-07-13T20:37:12.275Z,6,2.8000000000000003
6,11,2022-07-13T20:37:12.275Z,9,8.299999999999999
4,12,2022-07-13T20:37:12.275Z,6,6.2
10,11,2022-07-13T20:37:12.275Z,5,2.8000000000000003
8,20,2022-07-13T20:37:12.275Z,8,9.1
2,12,2022-07-13T20:37:42.328Z,1,7.3
1,13,2022-07-13T20:37:42.328Z,10,4.6000000000000005
3,20,2022-07-13T20:37:42.328Z,7,2.1
2,17,2022-07-13T20:37:42.328Z,5,4.699999999999999
1,19,2022-07-13T20:37:42.328Z,6,8.0
3,11,2022-07-13T20:37:42.328Z,5,1.0
1,11,2022-07-13T20:37:42.328Z,2,3.9000000000000004
8,12,2022-07-13T20:37:42.328Z,6,7.0
1,10,2022-07-13T20:37:42.328Z,9,6.6000000000000005
7,12,2022-07-13T20:37:42.328Z,5,5.8999999999999995
9,20,2022-07-13T20:36:12.164Z,3,2.4
3,18,2022-07-13T20:36:12.164Z,3,3.9000000000000004
3,12,2022-07-13T20:36:12.164Z,5,8.2
2,17,2022-07-13T20:36:12.164Z,1,6.800000000000001
2,20,2022-07-13T20:36:12.165Z,5,5.8
8,17,2022-07-13T20:36:12.165Z,3,3.0
2,17,2022-07-13T20:36:12.165Z,7,6.800000000000001
10,18,2022-07-13T20:36:12.165Z,6,8.2
2,20,2022-07-13T20:36:12.165Z,5,1.4000000000000001
7,10,2022-07-13T20:36:12.165Z,4,5.300000000000001
4,19,2022-07-13T20:35:17.057Z,1,3.9000000000000004
8,18,2022-07-13T20:35:17.057Z,9,4.6000000000000005
5,12,2022-07-13T20:35:17.057Z,10,1.1
7,18,2022-07-13T20:35:17.057Z,2,1.5
5,12,2022-07-13T20:35:17.057Z,8,1.6
4,18,2022-07-13T20:35:17.057Z,6,1.2
3,10,2022-07-13T20:35:17.057Z,10,3.1
6,20,2022-07-13T20:35:17.057Z,4,3.9000000000000004
5,12,2022-07-13T20:35:17.057Z,4,1.7000000000000002
1,15,2022-07-13T20:35:17.057Z,6,3.2
6,12,2022-07-13T20:36:42.210Z,3,7.3
9,14,2022-07-13T20:36:42.210Z,10,6.1
4,18,2022-07-13T20:36:42.210Z,3,0.0
5,20,2022-07-13T20:36:42.210Z,9,4.699999999999999
10,19,2022-07-13T20:36:42.210Z,3,5.1
4,10,2022-07-13T20:36:42.210Z,6,8.100000000000001
7,16,2022-07-13T20:36:42.210Z,6,4.6000000000000005
5,14,2022-07-13T20:36:42.210Z,10,7.9
2,18,2022-07-13T20:36:42.210Z,10,2.4
7,18,2022-07-13T20:36:42.210Z,8,3.3000000000000003
2,16,2022-07-13T20:35:32.085Z,1,2.3000000000000003
6,16,2022-07-13T20:35:32.085Z,1,7.199999999999999
2,14,2022-07-13T20:35:32.085Z,9,9.5
6,15,2022-07-13T20:35:32.085Z,9,2.1
4,14,2022-07-13T20:35:32.085Z,3,4.5
7,13,2022-07-13T20:35:32.085Z,8,2.4
4,19,2022-07-13T20:35:32.085Z,1,8.299999999999999
1,16,2022-07-13T20:35:32.085Z,9,6.7
1,16,2022-07-13T20:35:32.085Z,1,7.9
2,15,2022-07-13T20:35:32.085Z,2,4.699999999999999
1,10,2022-07-13T20:36:57.238Z,2,4.4
10,19,2022-07-13T20:36:57.238Z,3,5.6000000000000005
1,20,2022-07-13T20:36:57.238Z,2,1.3
9,19,2022-07-13T20:36:57.238Z,7,6.8999999999999995
6,13,2022-07-13T20:36:57.238Z,3,9.6
5,10,2022-07-13T20:36:57.238Z,8,4.2
