clicks,impressions,datetime,quantity,total_price
9,10,2022-07-13T22:54:39.192035,8,6.8999999999999995
2,20,2022-07-13T22:54:39.193536,5,9.6
4,13,2022-07-13T22:54:39.193536,7,0.4
6,20,2022-07-13T22:54:39.193536,1,5.699999999999999
10,15,2022-07-13T22:54:39.194535,5,0.2
3,20,2022-07-13T22:54:39.196121,3,8.9
9,17,2022-07-13T22:54:39.196121,5,5.8999999999999995
8,10,2022-07-13T22:54:39.196121,9,7.800000000000001
9,20,2022-07-13T22:54:39.196121,9,3.3000000000000003
3,17,2022-07-13T22:54:39.196121,6,7.800000000000001
4,16,2022-07-13T22:55:04.256838,9,9.200000000000001
9,15,2022-07-13T22:55:04.256838,1,4.8
2,14,2022-07-13T22:55:04.256838,3,1.2
4,14,2022-07-13T22:55:04.256838,3,7.800000000000001
2,15,2022-07-13T22:55:04.256838,7,8.5
4,19,2022-07-13T22:55:04.256838,5,3.5999999999999996
10,18,2022-07-13T22:55:04.256838,1,0.8999999999999999
1,20,2022-07-13T22:55:04.256838,2,8.8
9,14,2022-07-13T22:55:04.256838,8,3.5999999999999996
3,11,2022-07-13T22:55:04.256838,4,9.8
5,17,2022-07-13T22:54:34.181825,9,9.0
10,15,2022-07-13T22:54:34.181825,9,0.2
5,18,2022-07-13T22:54:34.181825,9,0.1
1,16,2022-07-13T22:54:34.181825,6,7.7
5,13,2022-07-13T22:54:34.181825,7,8.7
3,11,2022-07-13T22:54:34.181825,5,6.8999999999999995
5,15,2022-07-13T22:54:34.181825,3,1.1
3,11,2022-07-13T22:54:34.181825,6,3.5999999999999996
2,15,2022-07-13T22:54:34.181825,6,3.9000000000000004
8,19,2022-07-13T22:54:34.181825,1,5.300000000000001
8,16,2022-07-13T22:54:29.169834,1,1.1
9,20,2022-07-13T22:54:29.170674,1,7.5
1,12,2022-07-13T22:54:29.170674,6,8.7
7,12,2022-07-13T22:54:29.170674,10,8.7
9,11,2022-07-13T22:54:29.170720,6,6.6000000000000005
10,18,2022-07-13T22:54:29.170736,7,4.2
6,19,2022-07-13T22:54:29.170736,1,6.5
1,20,2022-07-13T22:54:29.170736,6,1.1
3,12,2022-07-13T22:54:29.170736,2,4.6000000000000005
7,16,2022-07-13T22:54:29.170736,5,5.8999999999999995
8,13,2022-07-13T22:54:54.239839,8,1.6
7,18,2022-07-13T22:54:54.239839,4,4.6000000000000005
5,18,2022-07-13T22:54:54.239839,6,0.8999999999999999
4,18,2022-07-13T22:54:54.239839,5,2.5
6,14,2022-07-13T22:54:54.239839,6,4.1
4,15,2022-07-13T22:54:54.239839,8,3.1
1,20,2022-07-13T22:54:54.239839,3,6.0
10,18,2022-07-13T22:54:54.239839,8,3.7
5,13,2022-07-13T22:54:54.239839,7,3.4000000000000004
7,16,2022-07-13T22:54:54.239839,10,8.5
2,13,2022-07-13T22:54:49.220192,9,0.0
2,16,2022-07-13T22:54:49.220192,3,9.7
1,12,2022-07-13T22:54:49.220192,9,4.9
10,12,2022-07-13T22:54:49.220192,5,0.2
