clicks,impressions,datetime,quantity,total_price
3,16,2022-07-13T20:49:18.533Z,10,2.3000000000000003
7,10,2022-07-13T20:49:18.533Z,8,5.8999999999999995
6,11,2022-07-13T20:49:18.533Z,3,0.2
6,17,2022-07-13T20:49:18.533Z,10,4.3
4,14,2022-07-13T20:49:18.533Z,8,0.6
10,15,2022-07-13T20:49:18.533Z,10,8.0
7,16,2022-07-13T20:49:18.533Z,5,1.7000000000000002
3,10,2022-07-13T20:49:18.533Z,9,8.100000000000001
6,13,2022-07-13T20:49:18.533Z,7,2.5
9,15,2022-07-13T20:49:18.533Z,9,6.1
4,15,2022-07-13T20:49:23.550Z,1,1.4000000000000001
1,19,2022-07-13T20:49:23.550Z,5,4.5
10,13,2022-07-13T20:49:23.550Z,2,4.4
1,20,2022-07-13T20:49:23.550Z,1,9.200000000000001
10,15,2022-07-13T20:49:23.550Z,10,2.2
10,17,2022-07-13T20:49:23.550Z,5,3.7
2,19,2022-07-13T20:49:23.550Z,7,9.399999999999999
10,17,2022-07-13T20:49:23.550Z,2,1.6
10,20,2022-07-13T20:49:23.550Z,3,2.6
1,19,2022-07-13T20:49:23.550Z,3,7.800000000000001
