clicks,impressions,datetime,quantity,total_price
3,16,2022-07-13T20:48:03.409Z,2,8.4
2,17,2022-07-13T20:48:03.409Z,1,7.1
4,17,2022-07-13T20:48:03.409Z,6,7.0
2,13,2022-07-13T20:48:03.409Z,10,6.0
1,20,2022-07-13T20:48:03.409Z,6,9.5
6,11,2022-07-13T20:48:03.409Z,6,9.200000000000001
8,13,2022-07-13T20:48:03.409Z,6,2.3000000000000003
10,20,2022-07-13T20:48:03.409Z,4,4.0
4,19,2022-07-13T20:48:03.409Z,7,9.7
6,18,2022-07-13T20:48:03.409Z,10,1.7000000000000002
3,16,2022-07-13T20:47:58.408Z,1,6.6000000000000005
5,11,2022-07-13T20:47:58.408Z,4,7.0
10,11,2022-07-13T20:47:58.408Z,9,3.0
5,10,2022-07-13T20:47:58.408Z,5,8.0
10,14,2022-07-13T20:47:58.408Z,6,2.6
8,11,2022-07-13T20:47:58.408Z,2,3.1
8,17,2022-07-13T20:47:58.408Z,10,6.0
4,20,2022-07-13T20:47:58.408Z,6,8.2
3,11,2022-07-13T20:47:58.408Z,6,5.8999999999999995
8,20,2022-07-13T20:47:58.408Z,9,6.1
