clicks,impressions,datetime,quantity,total_price
2,17,2022-07-13T20:48:08.409Z,5,0.7000000000000001
7,15,2022-07-13T20:48:08.409Z,6,3.2
2,20,2022-07-13T20:48:08.409Z,3,3.8
9,12,2022-07-13T20:48:08.409Z,4,8.9
1,15,2022-07-13T20:48:08.409Z,10,3.2
10,15,2022-07-13T20:48:08.409Z,3,1.7000000000000002
10,13,2022-07-13T20:48:08.409Z,2,1.4000000000000001
6,13,2022-07-13T20:48:08.409Z,5,0.7000000000000001
3,13,2022-07-13T20:48:08.409Z,3,8.9
9,15,2022-07-13T20:48:08.409Z,2,7.1
8,17,2022-07-13T20:48:13.417Z,6,5.6000000000000005
10,16,2022-07-13T20:48:13.417Z,1,8.299999999999999
10,10,2022-07-13T20:48:13.417Z,8,7.0
7,11,2022-07-13T20:48:13.417Z,4,10.0
7,19,2022-07-13T20:48:13.417Z,3,9.6
8,13,2022-07-13T20:48:13.417Z,7,0.5
8,18,2022-07-13T20:48:13.417Z,7,5.8999999999999995
2,20,2022-07-13T20:48:13.417Z,6,8.0
7,10,2022-07-13T20:48:13.417Z,8,5.5
10,17,2022-07-13T20:48:13.417Z,6,6.800000000000001
