clicks,impressions,datetime,quantity,total_price
7,17,2022-07-13T23:02:15.451850,4,7.199999999999999
10,15,2022-07-13T23:02:15.452050,6,4.2
9,14,2022-07-13T23:02:15.452050,2,2.9
10,18,2022-07-13T23:02:15.452050,2,1.7999999999999998
5,16,2022-07-13T23:02:15.452050,3,5.4
8,10,2022-07-13T23:02:15.452050,4,8.0
3,14,2022-07-13T23:02:15.452050,7,1.5
10,12,2022-07-13T23:02:15.452050,9,5.6000000000000005
5,12,2022-07-13T23:02:15.452050,1,3.7
10,19,2022-07-13T23:02:15.452050,2,1.7999999999999998
2,15,2022-07-13T23:01:20.287465,7,4.8
5,16,2022-07-13T23:01:20.287465,7,5.300000000000001
1,11,2022-07-13T23:01:20.287465,6,4.699999999999999
1,13,2022-07-13T23:01:20.287465,8,2.8000000000000003
4,18,2022-07-13T23:01:20.287465,5,7.1
8,15,2022-07-13T23:01:20.287465,8,3.9000000000000004
10,12,2022-07-13T23:01:20.287465,3,0.3
1,18,2022-07-13T23:01:20.287465,10,9.0
5,12,2022-07-13T23:01:20.287465,6,4.2
10,19,2022-07-13T23:01:20.287465,4,6.1
1,10,2022-07-13T23:02:10.432957,7,6.7
9,13,2022-07-13T23:02:10.432957,5,5.6000000000000005
3,20,2022-07-13T23:02:10.432957,7,0.5
4,15,2022-07-13T23:02:10.432957,2,3.9000000000000004
9,15,2022-07-13T23:02:10.432957,8,0.4
7,11,2022-07-13T23:02:10.432957,6,3.5999999999999996
4,14,2022-07-13T23:02:10.432957,5,0.0
2,12,2022-07-13T23:02:10.432957,3,3.7
10,14,2022-07-13T23:02:10.432957,7,1.1
2,12,2022-07-13T23:02:10.432957,1,9.200000000000001
9,10,2022-07-13T23:01:55.368075,4,7.199999999999999
3,20,2022-07-13T23:01:55.368189,9,7.0
5,18,2022-07-13T23:01:55.368189,5,8.100000000000001
4,12,2022-07-13T23:01:55.368189,6,4.5
2,15,2022-07-13T23:01:55.368189,8,4.1
3,10,2022-07-13T23:01:55.368189,2,1.2
1,15,2022-07-13T23:01:55.368189,8,3.4000000000000004
10,11,2022-07-13T23:01:55.368189,7,2.2
9,11,2022-07-13T23:01:55.368189,5,3.5999999999999996
5,19,2022-07-13T23:01:55.368189,3,2.7
6,10,2022-07-13T23:01:05.243389,3,8.5
1,13,2022-07-13T23:01:05.243389,10,7.4
8,11,2022-07-13T23:01:05.243389,9,2.6
7,12,2022-07-13T23:01:05.243389,10,1.5
5,15,2022-07-13T23:01:05.243389,1,9.200000000000001
2,15,2022-07-13T23:01:05.243389,6,0.6
5,10,2022-07-13T23:01:05.243389,10,0.7000000000000001
1,14,2022-07-13T23:01:05.243389,1,8.4
8,19,2022-07-13T23:01:05.243389,4,3.5999999999999996
7,18,2022-07-13T23:01:05.243389,3,6.3
1,15,2022-07-13T23:01:25.300249,7,8.7
8,18,2022-07-13T23:01:25.300249,6,9.3
8,15,2022-07-13T23:01:25.300249,10,0.5
10,12,2022-07-13T23:01:25.300249,9,4.699999999999999
6,16,2022-07-13T23:01:25.300249,5,9.5
4,12,2022-07-13T23:01:25.300249,7,4.8
9,12,2022-07-13T23:01:25.300249,2,6.5
6,14,2022-07-13T23:01:25.300249,3,1.5
10,14,2022-07-13T23:01:25.300249,7,9.200000000000001
2,17,2022-07-13T23:01:25.300249,4,5.300000000000001
3,11,2022-07-13T23:01:45.341925,8,8.7
5,19,2022-07-13T23:01:45.341925,4,3.7
4,18,2022-07-13T23:01:45.341925,1,7.800000000000001
3,16,2022-07-13T23:01:45.341925,6,0.7000000000000001
9,17,2022-07-13T23:01:45.341925,9,5.8
8,16,2022-07-13T23:01:45.341925,1,2.0
8,12,2022-07-13T23:01:45.341925,2,6.8999999999999995
10,14,2022-07-13T23:01:45.341925,8,7.5
5,10,2022-07-13T23:01:45.341925,4,2.4
3,15,2022-07-13T23:01:45.341925,4,4.1
1,19,2022-07-13T23:02:05.422065,9,8.4
4,12,2022-07-13T23:02:05.422065,2,0.8999999999999999
4,13,2022-07-13T23:02:05.422065,9,7.800000000000001
9,14,2022-07-13T23:02:05.422065,6,8.9
8,11,2022-07-13T23:02:05.422065,3,6.7
5,15,2022-07-13T23:02:05.422065,5,8.6
8,15,2022-07-13T23:02:05.422065,8,8.0
2,10,2022-07-13T23:02:05.422065,8,9.0
3,18,2022-07-13T23:02:05.422065,3,4.3
8,20,2022-07-13T23:02:05.422065,2,1.7000000000000002
5,10,2022-07-13T23:02:20.459310,4,5.300000000000001
3,11,2022-07-13T23:02:20.459310,4,8.6
