clicks,impressions,datetime,quantity,total_price
2,20,2022-07-13T20:48:48.464Z,5,7.199999999999999
1,15,2022-07-13T20:48:48.464Z,3,9.7
3,16,2022-07-13T20:48:48.464Z,7,2.8000000000000003
5,13,2022-07-13T20:48:48.464Z,9,7.3
2,14,2022-07-13T20:48:48.464Z,8,2.3000000000000003
7,16,2022-07-13T20:48:48.464Z,10,9.1
1,10,2022-07-13T20:48:48.464Z,6,2.9
1,13,2022-07-13T20:48:48.464Z,5,8.7
10,11,2022-07-13T20:48:48.464Z,7,4.0
5,20,2022-07-13T20:48:48.464Z,6,3.8
3,17,2022-07-13T20:48:53.479Z,5,4.6000000000000005
3,18,2022-07-13T20:48:53.479Z,3,2.9
5,11,2022-07-13T20:48:53.479Z,7,0.3
7,11,2022-07-13T20:48:53.479Z,3,2.7
4,11,2022-07-13T20:48:53.479Z,3,6.8999999999999995
6,15,2022-07-13T20:48:53.479Z,5,4.8
1,19,2022-07-13T20:48:53.479Z,9,8.7
7,13,2022-07-13T20:48:53.479Z,6,9.8
5,11,2022-07-13T20:48:53.479Z,8,5.8
2,11,2022-07-13T20:48:53.479Z,8,9.200000000000001
8,20,2022-07-13T20:48:58.492Z,10,9.5
5,17,2022-07-13T20:48:58.492Z,5,3.4000000000000004
8,16,2022-07-13T20:48:58.492Z,9,1.4000000000000001
3,20,2022-07-13T20:48:58.492Z,10,5.0
9,14,2022-07-13T20:48:58.492Z,5,5.1
1,13,2022-07-13T20:48:58.492Z,9,5.5
8,20,2022-07-13T20:48:58.492Z,2,8.2
3,12,2022-07-13T20:48:58.492Z,4,4.4
1,10,2022-07-13T20:48:58.492Z,9,1.5
6,12,2022-07-13T20:48:58.492Z,1,5.4
