clicks,impressions,datetime,quantity,total_price
2,13,2022-07-13T22:56:19.423908,8,3.5999999999999996
9,12,2022-07-13T22:56:19.423908,2,2.2
6,17,2022-07-13T22:56:19.423908,1,8.299999999999999
9,19,2022-07-13T22:56:19.423908,4,2.3000000000000003
5,17,2022-07-13T22:56:19.423908,8,2.3000000000000003
4,20,2022-07-13T22:56:19.423908,1,9.8
1,12,2022-07-13T22:56:19.423908,3,0.0
5,15,2022-07-13T22:56:19.423908,8,9.0
7,11,2022-07-13T22:56:19.423908,10,6.6000000000000005
1,19,2022-07-13T22:56:19.423908,5,1.9
6,10,2022-07-13T22:56:14.421454,8,6.6000000000000005
9,14,2022-07-13T22:56:14.421454,8,5.6000000000000005
9,12,2022-07-13T22:56:14.421454,1,0.0
7,16,2022-07-13T22:56:14.421454,1,1.7999999999999998
6,17,2022-07-13T22:56:14.421454,5,0.1
4,13,2022-07-13T22:56:14.421454,5,0.5
3,11,2022-07-13T22:56:14.421454,10,2.5
7,12,2022-07-13T22:56:14.421454,5,3.3000000000000003
4,14,2022-07-13T22:56:14.421454,8,7.4
8,20,2022-07-13T22:56:14.421454,4,3.0
3,12,2022-07-13T22:56:49.509961,1,6.1
7,17,2022-07-13T22:56:49.509961,1,9.3
10,13,2022-07-13T22:56:49.509961,7,8.7
5,15,2022-07-13T22:56:49.509961,3,0.8999999999999999
7,12,2022-07-13T22:56:49.509961,7,7.199999999999999
2,12,2022-07-13T22:56:49.509961,6,5.699999999999999
10,16,2022-07-13T22:56:49.509961,6,6.6000000000000005
10,17,2022-07-13T22:56:49.509961,6,4.3
9,11,2022-07-13T22:56:49.509961,2,1.5
5,18,2022-07-13T22:56:49.509961,9,7.6
5,15,2022-07-13T22:56:29.451771,5,7.3
4,10,2022-07-13T22:56:29.451771,5,2.2
5,18,2022-07-13T22:56:29.451771,7,0.2
1,18,2022-07-13T22:56:29.451771,5,7.4
8,11,2022-07-13T22:56:29.451771,2,3.9000000000000004
6,14,2022-07-13T22:56:29.451771,9,5.8
5,19,2022-07-13T22:56:29.451771,5,8.8
3,15,2022-07-13T22:56:29.451771,7,9.0
2,15,2022-07-13T22:56:29.451771,10,6.8999999999999995
1,18,2022-07-13T22:56:29.451771,1,3.4000000000000004
6,17,2022-07-13T22:56:09.420918,3,0.8999999999999999
8,11,2022-07-13T22:56:09.420918,1,4.2
9,14,2022-07-13T22:56:09.420918,1,9.9
1,15,2022-07-13T22:56:09.420918,3,8.0
7,17,2022-07-13T22:56:09.420918,7,5.6000000000000005
5,20,2022-07-13T22:56:09.420918,7,0.5
10,12,2022-07-13T22:56:09.420918,5,8.4
1,18,2022-07-13T22:56:09.420918,6,1.9
4,15,2022-07-13T22:56:09.420918,8,9.399999999999999
6,12,2022-07-13T22:56:09.420918,1,7.6
3,19,2022-07-13T22:56:44.497735,9,3.2
4,20,2022-07-13T22:56:44.497932,9,2.9
5,20,2022-07-13T22:56:44.497932,3,8.7
6,16,2022-07-13T22:56:44.497932,9,9.5
3,19,2022-07-13T22:56:44.497932,2,3.1
8,15,2022-07-13T22:56:44.497932,7,7.6
1,13,2022-07-13T22:56:44.497932,9,5.8999999999999995
7,18,2022-07-13T22:56:44.497932,9,8.7
4,18,2022-07-13T22:56:44.497932,1,9.3
1,14,2022-07-13T22:56:44.497932,4,5.8999999999999995
2,18,2022-07-13T22:56:34.467723,5,8.8
4,15,2022-07-13T22:56:34.467723,1,7.5
10,14,2022-07-13T22:56:34.467723,8,2.4
1,10,2022-07-13T22:56:34.467723,3,7.6
7,12,2022-07-13T22:56:34.467723,6,1.7000000000000002
10,12,2022-07-13T22:56:34.467723,6,2.7
7,15,2022-07-13T22:56:34.467723,4,0.6
5,16,2022-07-13T22:56:34.467723,7,1.1
6,12,2022-07-13T22:56:34.467723,7,4.9
6,13,2022-07-13T22:56:34.467723,5,8.6
1,17,2022-07-13T22:56:24.433754,3,7.4
1,13,2022-07-13T22:56:24.434754,2,3.1
4,12,2022-07-13T22:56:24.434754,2,0.8
6,16,2022-07-13T22:56:24.434754,1,5.1
5,15,2022-07-13T22:56:24.434754,5,6.5
7,12,2022-07-13T22:56:24.434754,2,9.3
5,10,2022-07-13T22:56:24.434754,4,9.1
4,18,2022-07-13T22:56:24.434754,4,0.1
2,20,2022-07-13T22:56:24.434754,3,7.6
3,13,2022-07-13T22:56:24.434754,9,5.6000000000000005
1,19,2022-07-13T22:56:39.483778,8,7.3
7,19,2022-07-13T22:56:39.483778,9,2.8000000000000003
9,18,2022-07-13T22:56:39.483778,4,0.1
6,10,2022-07-13T22:56:39.483778,4,3.5
7,18,2022-07-13T22:56:39.483778,9,5.0
1,12,2022-07-13T22:56:39.483778,4,6.2
3,12,2022-07-13T22:56:39.483778,1,1.1
8,17,2022-07-13T22:56:39.483778,7,2.4
9,16,2022-07-13T22:56:39.483778,5,1.3
3,12,2022-07-13T22:56:39.483778,7,7.5
