clicks,impressions,datetime,quantity,total_price
10,19,2022-07-13T20:47:38.365Z,3,7.7
2,11,2022-07-13T20:47:38.365Z,9,9.399999999999999
7,18,2022-07-13T20:47:38.365Z,5,1.0
5,16,2022-07-13T20:47:38.365Z,3,3.4000000000000004
3,18,2022-07-13T20:47:38.365Z,4,4.9
3,18,2022-07-13T20:47:38.365Z,4,8.100000000000001
8,11,2022-07-13T20:47:38.365Z,2,7.4
8,14,2022-07-13T20:47:38.365Z,10,2.7
7,12,2022-07-13T20:47:38.365Z,6,5.699999999999999
7,17,2022-07-13T20:47:38.365Z,2,9.200000000000001
9,16,2022-07-13T20:47:33.353Z,2,9.399999999999999
10,16,2022-07-13T20:47:33.353Z,7,4.1
5,17,2022-07-13T20:47:33.353Z,3,5.300000000000001
6,10,2022-07-13T20:47:33.353Z,7,5.5
6,15,2022-07-13T20:47:33.353Z,4,8.6
5,18,2022-07-13T20:47:33.353Z,8,10.0
2,13,2022-07-13T20:47:33.353Z,7,1.1
2,18,2022-07-13T20:47:33.353Z,9,7.3
10,15,2022-07-13T20:47:33.353Z,3,4.5
4,10,2022-07-13T20:47:33.353Z,1,0.1
