clicks,impressions,datetime,quantity,total_price
8,12,2022-07-13T22:58:54.920972,1,0.8999999999999999
7,13,2022-07-13T22:58:54.920972,3,2.8000000000000003
4,12,2022-07-13T22:58:54.920972,4,8.0
10,18,2022-07-13T22:58:54.920972,1,2.0
1,15,2022-07-13T22:58:54.920972,10,6.4
8,18,2022-07-13T22:58:54.920972,7,7.7
10,10,2022-07-13T22:58:54.920972,8,1.9
7,20,2022-07-13T22:58:54.920972,4,3.5999999999999996
9,16,2022-07-13T22:58:54.920972,10,9.200000000000001
6,17,2022-07-13T22:58:54.920972,1,0.3
5,11,2022-07-13T22:58:44.890779,8,9.6
1,12,2022-07-13T22:58:44.890779,8,1.3
6,14,2022-07-13T22:58:44.890779,1,1.7000000000000002
6,10,2022-07-13T22:58:44.890779,4,2.4
5,19,2022-07-13T22:58:44.890779,5,5.2
8,17,2022-07-13T22:58:44.890779,6,3.0
9,17,2022-07-13T22:58:44.890779,3,3.3000000000000003
3,19,2022-07-13T22:58:44.890779,5,0.7000000000000001
4,10,2022-07-13T22:58:44.890779,10,1.7999999999999998
7,14,2022-07-13T22:58:44.890779,3,2.4
5,12,2022-07-13T22:58:29.857697,4,2.8000000000000003
1,11,2022-07-13T22:58:29.857697,6,8.2
7,16,2022-07-13T22:58:29.857697,6,2.4
6,17,2022-07-13T22:58:29.857697,5,6.7
2,17,2022-07-13T22:58:29.857697,6,4.6000000000000005
4,20,2022-07-13T22:58:29.857697,6,1.5
4,13,2022-07-13T22:58:29.857697,9,6.3
1,15,2022-07-13T22:58:29.857697,5,3.0
3,14,2022-07-13T22:58:29.857697,6,4.699999999999999
3,17,2022-07-13T22:58:29.857697,5,6.800000000000001
8,10,2022-07-13T22:58:24.832651,6,4.5
6,19,2022-07-13T22:58:24.832651,10,1.1
2,11,2022-07-13T22:58:24.832651,8,9.200000000000001
9,19,2022-07-13T22:58:24.832651,5,3.9000000000000004
4,10,2022-07-13T22:58:24.832651,8,1.0
10,11,2022-07-13T22:58:24.832651,6,5.2
5,11,2022-07-13T22:58:24.832651,4,5.2
4,15,2022-07-13T22:58:24.832651,10,4.9
5,14,2022-07-13T22:58:24.832651,4,9.200000000000001
6,17,2022-07-13T22:58:24.832651,4,8.7
10,12,2022-07-13T22:58:34.862059,8,7.800000000000001
2,17,2022-07-13T22:58:34.862059,5,9.3
4,17,2022-07-13T22:58:34.862059,9,1.3
8,16,2022-07-13T22:58:34.862059,3,8.2
3,11,2022-07-13T22:58:34.862059,10,0.0
6,13,2022-07-13T22:58:34.862755,9,3.0
5,19,2022-07-13T22:58:34.862755,8,9.7
4,17,2022-07-13T22:58:34.862755,2,2.9
9,10,2022-07-13T22:58:34.862755,1,5.0
7,12,2022-07-13T22:58:34.862755,6,6.8999999999999995
9,13,2022-07-13T22:58:39.879754,8,1.0
5,17,2022-07-13T22:58:39.879754,10,8.100000000000001
8,20,2022-07-13T22:58:39.879754,6,8.0
9,12,2022-07-13T22:58:39.879754,3,4.0
6,10,2022-07-13T22:58:39.879754,8,5.2
9,20,2022-07-13T22:58:39.879754,5,6.2
6,20,2022-07-13T22:58:39.879754,1,1.7999999999999998
6,15,2022-07-13T22:58:39.879754,4,9.5
8,13,2022-07-13T22:58:39.879754,3,8.5
9,12,2022-07-13T22:58:39.879754,9,1.9
9,18,2022-07-13T22:58:49.901389,8,5.0
3,10,2022-07-13T22:58:49.901389,3,2.7
2,20,2022-07-13T22:58:49.901389,2,4.3
5,17,2022-07-13T22:58:49.901389,9,10.0
6,12,2022-07-13T22:58:49.901389,8,7.1
2,17,2022-07-13T22:58:49.902392,7,7.6
3,13,2022-07-13T22:58:49.902392,3,2.3000000000000003
3,20,2022-07-13T22:58:49.902392,2,0.8
5,13,2022-07-13T22:58:49.902392,4,8.5
7,12,2022-07-13T22:58:49.902392,3,0.8
8,14,2022-07-13T22:58:59.930906,7,7.1
8,17,2022-07-13T22:58:59.930906,4,5.6000000000000005
2,13,2022-07-13T22:58:59.930906,4,6.5
5,11,2022-07-13T22:58:59.930906,7,9.3
8,15,2022-07-13T22:58:59.930906,8,4.3
3,15,2022-07-13T22:58:59.930906,9,4.8
2,12,2022-07-13T22:58:59.930906,7,2.9
9,15,2022-07-13T22:58:59.930906,4,7.9
5,19,2022-07-13T22:58:59.930906,4,1.2
6,11,2022-07-13T22:58:59.930906,4,8.5
