clicks,impressions,datetime,quantity,total_price
5,19,2022-07-13T22:53:08.987794,10,9.9
1,15,2022-07-13T22:53:08.987794,3,6.8999999999999995
5,20,2022-07-13T22:53:08.987794,2,1.4000000000000001
10,15,2022-07-13T22:53:08.987794,7,9.1
2,11,2022-07-13T22:53:08.987794,10,9.8
9,19,2022-07-13T22:53:08.987794,4,3.7
2,20,2022-07-13T22:53:08.987794,5,8.5
8,11,2022-07-13T22:53:08.987794,2,8.100000000000001
9,17,2022-07-13T22:53:08.987794,3,2.2
7,19,2022-07-13T22:53:08.987794,9,8.299999999999999
10,16,2022-07-13T22:53:03.982015,3,8.5
10,15,2022-07-13T22:53:03.982015,10,6.4
3,10,2022-07-13T22:53:03.982015,10,8.2
9,11,2022-07-13T22:53:03.982015,2,3.5999999999999996
9,15,2022-07-13T22:53:03.982015,5,1.4000000000000001
5,19,2022-07-13T22:53:03.982015,6,6.7
3,15,2022-07-13T22:53:03.982015,7,2.9
5,16,2022-07-13T22:53:03.982015,8,0.4
5,20,2022-07-13T22:53:03.982015,1,8.299999999999999
8,15,2022-07-13T22:53:03.982015,8,1.0
8,18,2022-07-13T22:53:13.992416,7,4.6000000000000005
4,16,2022-07-13T22:53:13.992416,4,8.2
6,12,2022-07-13T22:53:13.992416,8,7.0
7,16,2022-07-13T22:53:13.992416,6,8.0
2,20,2022-07-13T22:53:13.992416,9,3.4000000000000004
10,13,2022-07-13T22:53:13.992416,3,0.6
2,20,2022-07-13T22:53:13.992416,7,4.5
1,10,2022-07-13T22:53:13.992416,2,1.1
2,18,2022-07-13T22:53:13.992416,8,6.5
5,15,2022-07-13T22:53:13.992416,6,9.8
