clicks,impressions,datetime,quantity,total_price
8,12,2022-07-13T20:48:38.449Z,3,1.6
10,13,2022-07-13T20:48:38.449Z,10,8.100000000000001
5,16,2022-07-13T20:48:38.449Z,7,4.699999999999999
5,18,2022-07-13T20:48:38.449Z,3,6.800000000000001
8,10,2022-07-13T20:48:38.449Z,6,7.0
4,17,2022-07-13T20:48:38.449Z,8,8.4
2,15,2022-07-13T20:48:38.449Z,3,5.2
3,16,2022-07-13T20:48:38.449Z,4,1.6
8,19,2022-07-13T20:48:38.449Z,4,9.399999999999999
7,18,2022-07-13T20:48:38.449Z,2,3.4000000000000004
6,12,2022-07-13T20:48:33.442Z,1,1.0
2,11,2022-07-13T20:48:33.442Z,6,4.8
5,19,2022-07-13T20:48:33.442Z,6,0.7000000000000001
7,12,2022-07-13T20:48:33.442Z,2,3.3000000000000003
10,11,2022-07-13T20:48:33.442Z,5,7.3
2,14,2022-07-13T20:48:33.442Z,2,1.7000000000000002
4,17,2022-07-13T20:48:33.442Z,2,7.4
4,13,2022-07-13T20:48:33.442Z,2,7.5
10,18,2022-07-13T20:48:33.442Z,7,2.5
1,11,2022-07-13T20:48:33.442Z,8,1.7000000000000002
