clicks,impressions,datetime,quantity,total_price
8,18,2022-07-13T20:49:08.509Z,1,9.399999999999999
6,15,2022-07-13T20:49:08.509Z,4,7.9
3,15,2022-07-13T20:49:08.509Z,7,2.8000000000000003
7,18,2022-07-13T20:49:08.509Z,3,6.4
4,11,2022-07-13T20:49:08.509Z,6,4.2
5,13,2022-07-13T20:49:08.509Z,2,2.4
3,10,2022-07-13T20:49:08.509Z,3,2.6
4,10,2022-07-13T20:49:08.509Z,3,3.8
7,17,2022-07-13T20:49:08.509Z,8,1.1
3,20,2022-07-13T20:49:08.509Z,9,6.800000000000001
6,13,2022-07-13T20:49:03.501Z,4,6.5
5,15,2022-07-13T20:49:03.501Z,5,1.3
4,11,2022-07-13T20:49:03.501Z,6,7.5
1,19,2022-07-13T20:49:03.501Z,1,2.7
10,13,2022-07-13T20:49:03.501Z,2,7.9
7,11,2022-07-13T20:49:03.501Z,9,5.8999999999999995
6,14,2022-07-13T20:49:03.501Z,5,6.1
3,17,2022-07-13T20:49:03.501Z,6,0.1
7,20,2022-07-13T20:49:03.501Z,7,3.7
9,20,2022-07-13T20:49:03.501Z,7,4.4
