clicks,impressions,datetime,quantity,total_price
1,11,2022-07-13T22:53:24.020085,9,4.699999999999999
10,18,2022-07-13T22:53:24.020264,9,2.8000000000000003
10,13,2022-07-13T22:53:24.020264,1,7.9
1,15,2022-07-13T22:53:24.020264,2,3.8
6,10,2022-07-13T22:53:24.020264,8,5.6000000000000005
8,17,2022-07-13T22:53:24.020264,10,0.6
9,20,2022-07-13T22:53:24.020264,8,6.7
1,10,2022-07-13T22:53:24.020264,8,0.6
10,11,2022-07-13T22:53:24.020264,8,5.300000000000001
9,20,2022-07-13T22:53:24.020264,4,4.699999999999999
2,12,2022-07-13T22:54:14.141398,2,4.5
10,14,2022-07-13T22:54:14.141553,8,9.6
10,17,2022-07-13T22:54:14.141553,6,1.5
3,15,2022-07-13T22:54:14.141553,2,0.4
9,19,2022-07-13T22:54:14.141553,7,6.6000000000000005
8,15,2022-07-13T22:54:14.141553,3,0.7000000000000001
4,10,2022-07-13T22:54:14.141553,3,3.3000000000000003
3,11,2022-07-13T22:54:14.141553,4,1.0
4,16,2022-07-13T22:54:14.141553,7,3.5999999999999996
4,15,2022-07-13T22:54:14.141553,10,4.8
1,13,2022-07-13T22:53:19.007309,2,10.0
9,16,2022-07-13T22:53:19.007309,9,5.5
4,19,2022-07-13T22:53:19.007309,10,4.3
1,11,2022-07-13T22:53:19.007309,8,6.800000000000001
5,12,2022-07-13T22:53:19.007309,1,5.8999999999999995
5,11,2022-07-13T22:53:19.007309,9,5.0
6,14,2022-07-13T22:53:19.007309,10,8.299999999999999
2,18,2022-07-13T22:53:19.007309,8,7.800000000000001
6,20,2022-07-13T22:53:19.007309,8,0.3
8,19,2022-07-13T22:53:19.007309,10,9.7
9,12,2022-07-13T22:53:44.062939,1,4.5
2,10,2022-07-13T22:53:44.062939,6,6.3
10,17,2022-07-13T22:53:44.062939,2,4.4
1,13,2022-07-13T22:53:44.062939,10,0.4
7,13,2022-07-13T22:53:44.062939,4,7.199999999999999
10,20,2022-07-13T22:53:44.062939,6,9.8
5,13,2022-07-13T22:53:44.062939,3,9.399999999999999
7,13,2022-07-13T22:53:44.062939,4,5.699999999999999
10,13,2022-07-13T22:53:44.062939,7,3.5999999999999996
2,15,2022-07-13T22:53:44.062939,8,6.2
3,12,2022-07-13T22:53:54.088404,9,6.3
3,18,2022-07-13T22:53:54.088404,7,3.7
6,12,2022-07-13T22:53:54.088404,10,2.9
7,20,2022-07-13T22:53:54.088404,9,6.8999999999999995
8,17,2022-07-13T22:53:54.088404,7,3.9000000000000004
3,17,2022-07-13T22:53:54.088404,4,0.5
7,18,2022-07-13T22:53:54.088404,8,6.2
9,14,2022-07-13T22:53:54.088404,6,3.2
10,16,2022-07-13T22:53:54.088404,5,5.300000000000001
4,12,2022-07-13T22:53:54.089442,2,3.4000000000000004
2,18,2022-07-13T22:54:09.127855,1,0.8
6,20,2022-07-13T22:54:09.127855,2,0.6
5,10,2022-07-13T22:54:09.127855,10,7.6
10,10,2022-07-13T22:54:09.127855,7,2.4
10,10,2022-07-13T22:54:09.127855,10,9.399999999999999
2,14,2022-07-13T22:54:09.127855,2,4.6000000000000005
7,18,2022-07-13T22:54:09.129856,4,6.5
5,18,2022-07-13T22:54:09.129856,6,8.5
5,13,2022-07-13T22:54:09.129856,10,0.8999999999999999
9,20,2022-07-13T22:54:09.129856,1,6.0
7,18,2022-07-13T22:53:34.037759,7,8.6
1,19,2022-07-13T22:53:34.037889,10,9.3
9,20,2022-07-13T22:53:34.037889,5,5.300000000000001
8,19,2022-07-13T22:53:34.037889,3,5.1
1,10,2022-07-13T22:53:34.037889,2,6.3
2,13,2022-07-13T22:53:34.037889,8,10.0
10,12,2022-07-13T22:53:34.037889,8,4.6000000000000005
7,17,2022-07-13T22:53:34.037889,7,3.7
5,16,2022-07-13T22:53:34.037889,9,1.6
2,19,2022-07-13T22:53:34.037889,9,0.8999999999999999
5,13,2022-07-13T22:53:49.077624,8,1.1
1,12,2022-07-13T22:53:49.077624,7,5.699999999999999
4,15,2022-07-13T22:53:49.077624,10,9.8
1,10,2022-07-13T22:53:49.077624,8,8.9
4,15,2022-07-13T22:53:49.077624,7,7.0
8,20,2022-07-13T22:53:49.077624,4,9.5
5,15,2022-07-13T22:53:49.077624,5,3.4000000000000004
4,19,2022-07-13T22:53:49.077624,1,6.2
