clicks,impressions,datetime,quantity,total_price
10,11,2022-07-13T20:47:23.336Z,1,4.8
4,10,2022-07-13T20:47:23.336Z,10,3.9000000000000004
2,17,2022-07-13T20:47:23.336Z,1,4.4
5,12,2022-07-13T20:47:23.336Z,9,2.6
7,20,2022-07-13T20:47:23.336Z,3,5.699999999999999
1,11,2022-07-13T20:47:23.336Z,4,1.7999999999999998
2,10,2022-07-13T20:47:23.336Z,2,5.1
7,12,2022-07-13T20:47:23.336Z,8,6.1
7,18,2022-07-13T20:47:23.336Z,10,7.7
4,15,2022-07-13T20:47:23.336Z,5,0.1
1,12,2022-07-13T20:47:28.347Z,6,9.399999999999999
3,15,2022-07-13T20:47:28.347Z,7,5.5
6,18,2022-07-13T20:47:28.347Z,2,4.4
4,20,2022-07-13T20:47:28.347Z,10,8.6
7,10,2022-07-13T20:47:28.347Z,5,0.3
2,16,2022-07-13T20:47:28.347Z,3,7.7
1,19,2022-07-13T20:47:28.347Z,3,3.3000000000000003
8,16,2022-07-13T20:47:28.347Z,9,4.9
9,10,2022-07-13T20:47:28.347Z,8,0.4
5,16,2022-07-13T20:47:28.347Z,10,6.2
