clicks,impressions,datetime,quantity,total_price
4,13,2022-07-13T20:48:23.426Z,3,2.8000000000000003
4,14,2022-07-13T20:48:23.426Z,2,0.3
1,12,2022-07-13T20:48:23.426Z,9,8.5
1,13,2022-07-13T20:48:23.426Z,7,3.3000000000000003
7,13,2022-07-13T20:48:23.426Z,3,4.9
5,14,2022-07-13T20:48:23.426Z,10,0.8
1,17,2022-07-13T20:48:23.426Z,8,6.6000000000000005
10,13,2022-07-13T20:48:23.426Z,2,3.5999999999999996
9,15,2022-07-13T20:48:23.426Z,9,0.6
3,17,2022-07-13T20:48:23.426Z,8,0.1
10,17,2022-07-13T20:48:28.437Z,4,2.2
5,14,2022-07-13T20:48:28.437Z,7,5.1
7,16,2022-07-13T20:48:28.437Z,9,6.800000000000001
10,13,2022-07-13T20:48:28.437Z,4,7.9
8,19,2022-07-13T20:48:28.437Z,10,3.5
5,18,2022-07-13T20:48:28.437Z,6,5.8
9,11,2022-07-13T20:48:28.437Z,1,5.1
3,16,2022-07-13T20:48:28.437Z,6,4.2
1,11,2022-07-13T20:48:28.437Z,8,8.100000000000001
2,20,2022-07-13T20:48:28.437Z,4,2.1
