clicks,impressions,datetime,quantity,total_price
2,13,2022-07-13T22:52:53.970006,2,7.4
3,10,2022-07-13T22:52:53.970006,9,0.8
7,13,2022-07-13T22:52:53.970006,1,6.4
10,14,2022-07-13T22:52:53.970006,1,9.8
7,19,2022-07-13T22:52:53.970006,2,6.5
4,11,2022-07-13T22:52:53.970006,10,8.5
2,19,2022-07-13T22:52:53.970006,9,8.100000000000001
3,17,2022-07-13T22:52:53.970006,8,7.3
8,19,2022-07-13T22:52:53.970006,2,4.5
1,13,2022-07-13T22:52:53.970006,6,5.8
5,11,2022-07-13T22:52:58.974435,3,4.2
8,16,2022-07-13T22:52:58.974435,8,5.0
3,16,2022-07-13T22:52:58.974435,8,2.5
9,11,2022-07-13T22:52:58.974435,1,4.2
10,12,2022-07-13T22:52:58.974435,5,9.1
4,12,2022-07-13T22:52:58.974435,8,7.0
4,16,2022-07-13T22:52:58.974435,1,5.6000000000000005
4,20,2022-07-13T22:52:58.974435,3,4.5
3,11,2022-07-13T22:52:58.974435,2,5.2
4,18,2022-07-13T22:52:58.974435,6,2.2
