clicks,impressions,datetime,quantity,total_price
7,20,2022-07-13T20:47:08.306Z,10,7.0
7,14,2022-07-13T20:47:08.306Z,5,5.6000000000000005
6,20,2022-07-13T20:47:08.306Z,7,9.200000000000001
2,19,2022-07-13T20:47:08.306Z,9,0.8999999999999999
5,10,2022-07-13T20:47:08.306Z,9,0.3
9,12,2022-07-13T20:47:08.306Z,10,5.2
2,17,2022-07-13T20:47:08.306Z,8,1.9
9,19,2022-07-13T20:47:08.306Z,4,1.2
8,17,2022-07-13T20:47:08.306Z,8,1.7999999999999998
1,16,2022-07-13T20:47:08.306Z,4,2.0
8,16,2022-07-13T20:47:13.323Z,7,5.300000000000001
9,20,2022-07-13T20:47:13.323Z,2,1.0
3,20,2022-07-13T20:47:13.323Z,9,7.6
2,14,2022-07-13T20:47:13.323Z,1,3.9000000000000004
3,19,2022-07-13T20:47:13.323Z,1,3.4000000000000004
8,13,2022-07-13T20:47:13.323Z,5,6.4
7,20,2022-07-13T20:47:13.323Z,3,7.6
1,10,2022-07-13T20:47:13.323Z,8,9.8
3,17,2022-07-13T20:47:13.323Z,5,3.9000000000000004
10,19,2022-07-13T20:47:13.323Z,6,3.8
