clicks,impressions,datetime,quantity,total_price
3,17,2022-07-13T22:57:54.765056,4,2.1
2,11,2022-07-13T22:57:54.765056,2,6.5
5,17,2022-07-13T22:57:54.765056,3,2.6
1,11,2022-07-13T22:57:54.765056,4,6.8999999999999995
6,15,2022-07-13T22:57:54.765056,3,0.7000000000000001
10,13,2022-07-13T22:57:54.765056,9,9.399999999999999
5,10,2022-07-13T22:57:54.765056,5,1.7000000000000002
7,16,2022-07-13T22:57:54.765056,1,5.5
1,15,2022-07-13T22:57:54.765056,6,3.4000000000000004
3,15,2022-07-13T22:57:54.765056,5,3.2
6,19,2022-07-13T22:57:59.777590,10,2.3000000000000003
5,18,2022-07-13T22:57:59.777590,1,8.2
5,13,2022-07-13T22:57:59.777590,9,2.5
6,20,2022-07-13T22:57:59.777590,2,1.2
7,18,2022-07-13T22:57:59.777590,9,0.7000000000000001
8,20,2022-07-13T22:57:59.777590,4,2.0
1,19,2022-07-13T22:57:59.777590,10,8.299999999999999
9,14,2022-07-13T22:57:59.777590,8,8.100000000000001
8,10,2022-07-13T22:57:59.777590,3,2.0
1,15,2022-07-13T22:57:59.777590,3,0.8
6,12,2022-07-13T22:57:49.748625,1,4.4
6,16,2022-07-13T22:57:49.748625,4,7.800000000000001
4,16,2022-07-13T22:57:49.748625,5,8.5
5,15,2022-07-13T22:57:49.748625,9,0.5
5,16,2022-07-13T22:57:49.748625,2,0.8999999999999999
6,15,2022-07-13T22:57:49.748625,3,5.300000000000001
2,16,2022-07-13T22:57:49.748625,1,0.8
10,12,2022-07-13T22:57:49.748625,5,7.6
9,14,2022-07-13T22:57:49.748625,9,7.7
10,20,2022-07-13T22:57:49.748625,4,7.800000000000001
1,19,2022-07-13T22:58:04.793548,2,6.4
3,15,2022-07-13T22:58:04.793548,5,7.7
7,13,2022-07-13T22:58:04.793548,7,3.0
5,18,2022-07-13T22:58:04.793548,8,1.2
4,17,2022-07-13T22:58:04.793548,1,5.699999999999999
2,11,2022-07-13T22:58:04.793548,10,5.300000000000001
1,18,2022-07-13T22:58:04.793548,8,9.3
2,12,2022-07-13T22:58:04.793548,1,3.7
3,15,2022-07-13T22:58:04.793548,2,5.699999999999999
4,15,2022-07-13T22:58:04.793548,2,3.4000000000000004
1,17,2022-07-13T22:58:09.802749,10,3.8
8,11,2022-07-13T22:58:09.802749,9,3.4000000000000004
6,13,2022-07-13T22:58:09.802749,6,6.0
10,14,2022-07-13T22:58:09.802749,8,2.2
10,19,2022-07-13T22:58:09.802749,5,3.3000000000000003
4,12,2022-07-13T22:58:09.802749,5,3.1
4,17,2022-07-13T22:58:09.802749,2,4.4
4,13,2022-07-13T22:58:09.802749,4,2.8000000000000003
1,12,2022-07-13T22:58:09.802749,3,5.5
6,12,2022-07-13T22:58:09.802749,1,4.5
1,13,2022-07-13T22:58:19.823783,9,9.7
5,19,2022-07-13T22:58:19.823783,8,1.7999999999999998
10,12,2022-07-13T22:58:19.823783,9,9.3
9,17,2022-07-13T22:58:19.823783,5,1.5
6,11,2022-07-13T22:58:19.823783,4,0.4
10,17,2022-07-13T22:58:19.823783,10,4.6000000000000005
6,18,2022-07-13T22:58:19.823783,9,3.4000000000000004
7,20,2022-07-13T22:58:19.823783,7,3.5
9,14,2022-07-13T22:58:19.823783,8,8.0
7,19,2022-07-13T22:58:19.823783,7,7.1
4,14,2022-07-13T22:57:44.741844,1,7.3
6,15,2022-07-13T22:57:44.741844,7,1.1
10,13,2022-07-13T22:57:44.741844,2,0.5
8,18,2022-07-13T22:57:44.741844,5,4.9
3,12,2022-07-13T22:57:44.741844,10,5.1
1,16,2022-07-13T22:57:44.741844,5,8.100000000000001
6,19,2022-07-13T22:57:44.741844,1,0.7000000000000001
2,16,2022-07-13T22:57:44.741844,8,2.6
6,10,2022-07-13T22:57:44.741844,9,8.0
7,20,2022-07-13T22:57:44.741844,10,8.6
8,19,2022-07-13T22:58:14.809713,2,7.800000000000001
10,18,2022-07-13T22:58:14.809713,6,9.7
1,14,2022-07-13T22:58:14.809713,2,4.5
8,20,2022-07-13T22:58:14.809713,9,0.8
1,13,2022-07-13T22:58:14.809713,4,1.2
9,10,2022-07-13T22:58:14.809713,4,7.5
2,20,2022-07-13T22:58:14.809713,5,3.3000000000000003
6,12,2022-07-13T22:58:14.809713,5,0.8
7,12,2022-07-13T22:58:14.809713,7,2.2
9,18,2022-07-13T22:58:14.809713,5,1.1
9,12,2022-07-13T22:57:39.686194,8,0.6
5,18,2022-07-13T22:57:39.686194,6,9.399999999999999
10,12,2022-07-13T22:57:39.686194,1,6.3
9,14,2022-07-13T22:57:39.686194,4,8.5
3,11,2022-07-13T22:57:39.686194,9,3.2
8,15,2022-07-13T22:57:39.686194,3,9.0
9,10,2022-07-13T22:57:39.687178,5,3.2
1,15,2022-07-13T22:57:39.687708,2,1.9
4,13,2022-07-13T22:57:39.687708,3,2.2
6,19,2022-07-13T22:57:39.687708,2,0.4
