clicks,impressions,datetime,quantity,total_price
5,19,2022-07-13T22:55:44.356261,1,4.0
7,18,2022-07-13T22:55:44.356261,5,3.5999999999999996
6,13,2022-07-13T22:55:44.356261,7,5.300000000000001
3,13,2022-07-13T22:55:44.356261,2,2.4
9,16,2022-07-13T22:55:44.356261,4,8.100000000000001
7,10,2022-07-13T22:55:44.356261,5,2.6
6,15,2022-07-13T22:55:44.356261,3,5.2
7,11,2022-07-13T22:55:44.356261,1,1.5
6,10,2022-07-13T22:55:44.356261,8,8.100000000000001
1,10,2022-07-13T22:55:44.356261,10,1.9
4,14,2022-07-13T22:55:59.396250,9,5.2
8,16,2022-07-13T22:55:59.396250,10,5.5
9,19,2022-07-13T22:55:59.396250,7,0.5
7,10,2022-07-13T22:55:59.396250,3,2.8000000000000003
6,17,2022-07-13T22:55:59.396250,4,8.4
7,19,2022-07-13T22:55:59.396250,7,3.5999999999999996
3,18,2022-07-13T22:55:59.396250,2,2.0
3,19,2022-07-13T22:55:59.396250,8,6.1
5,12,2022-07-13T22:55:59.396250,1,9.8
3,20,2022-07-13T22:55:59.396250,8,0.7000000000000001
9,15,2022-07-13T22:55:49.359629,7,4.6000000000000005
9,19,2022-07-13T22:55:49.359629,8,2.2
3,15,2022-07-13T22:55:49.359629,4,8.9
8,19,2022-07-13T22:55:49.359629,8,9.200000000000001
5,17,2022-07-13T22:55:49.359629,2,6.800000000000001
10,18,2022-07-13T22:55:49.359629,9,9.6
3,20,2022-07-13T22:55:49.359629,4,3.0
5,13,2022-07-13T22:55:49.359629,10,4.3
3,18,2022-07-13T22:55:49.359629,3,1.9
7,14,2022-07-13T22:55:49.359629,3,9.5
3,16,2022-07-13T22:55:24.308862,4,6.5
6,12,2022-07-13T22:55:24.308862,4,1.3
8,13,2022-07-13T22:55:24.308862,5,7.199999999999999
4,14,2022-07-13T22:55:24.308862,7,8.0
10,15,2022-07-13T22:55:24.308862,1,6.3
9,15,2022-07-13T22:55:24.308862,9,0.0
4,20,2022-07-13T22:55:24.308862,1,9.6
9,17,2022-07-13T22:55:24.308862,6,8.7
2,20,2022-07-13T22:55:24.308862,7,6.800000000000001
10,15,2022-07-13T22:55:24.308862,10,5.0
8,18,2022-07-13T22:55:29.320166,7,5.6000000000000005
2,15,2022-07-13T22:55:29.320166,8,5.8
6,16,2022-07-13T22:55:29.320166,9,5.4
8,17,2022-07-13T22:55:29.320166,1,2.0
3,11,2022-07-13T22:55:29.320166,4,5.0
3,13,2022-07-13T22:55:29.320166,10,2.4
6,15,2022-07-13T22:55:29.320166,9,4.4
3,15,2022-07-13T22:55:29.320166,6,3.8
10,11,2022-07-13T22:55:29.320166,10,1.5
1,11,2022-07-13T22:55:29.320166,5,4.9
4,20,2022-07-13T22:55:54.371689,5,5.0
6,15,2022-07-13T22:55:54.371689,1,1.2
6,10,2022-07-13T22:55:54.371689,2,4.9
5,16,2022-07-13T22:55:54.371689,5,1.7999999999999998
6,14,2022-07-13T22:55:54.371689,10,8.2
4,20,2022-07-13T22:55:54.371689,7,0.1
4,19,2022-07-13T22:55:54.371689,3,2.0
7,20,2022-07-13T22:55:54.371689,6,9.1
3,19,2022-07-13T22:55:54.371689,6,8.7
4,20,2022-07-13T22:55:54.371689,9,5.5
8,11,2022-07-13T22:56:04.411645,3,5.0
4,10,2022-07-13T22:56:04.411645,4,8.7
1,12,2022-07-13T22:56:04.411645,10,3.5
7,10,2022-07-13T22:56:04.411645,3,0.6
10,12,2022-07-13T22:56:04.411645,1,5.300000000000001
3,13,2022-07-13T22:56:04.411645,6,6.3
7,11,2022-07-13T22:56:04.411645,8,0.4
4,13,2022-07-13T22:56:04.411645,2,6.5
9,18,2022-07-13T22:56:04.411645,8,1.3
6,17,2022-07-13T22:56:04.411645,9,9.9
8,16,2022-07-13T22:55:34.334086,7,5.2
1,14,2022-07-13T22:55:34.334086,2,4.9
5,14,2022-07-13T22:55:34.334086,5,8.100000000000001
8,15,2022-07-13T22:55:34.334086,6,8.2
2,18,2022-07-13T22:55:34.334086,4,3.1
8,20,2022-07-13T22:55:34.334086,6,5.8
2,20,2022-07-13T22:55:34.334086,7,2.9
3,15,2022-07-13T22:55:34.334086,3,5.0
9,18,2022-07-13T22:55:34.334086,1,8.0
1,14,2022-07-13T22:55:34.334086,10,1.0
1,20,2022-07-13T22:55:39.342634,7,9.6
5,10,2022-07-13T22:55:39.342634,3,7.6
4,17,2022-07-13T22:55:39.342634,6,0.0
8,15,2022-07-13T22:55:39.342634,3,8.9
5,20,2022-07-13T22:55:39.342634,9,3.8
7,17,2022-07-13T22:55:39.342634,1,8.4
2,17,2022-07-13T22:55:39.342634,3,6.800000000000001
9,16,2022-07-13T22:55:39.342634,5,4.8
3,10,2022-07-13T22:55:39.342634,7,5.4
2,19,2022-07-13T22:55:39.342634,1,9.5
9,17,2022-07-13T22:55:19.296877,7,1.9
7,19,2022-07-13T22:55:19.296877,5,2.9
1,19,2022-07-13T22:55:19.296877,4,9.7
5,13,2022-07-13T22:55:19.296877,3,8.6
9,12,2022-07-13T22:55:19.296877,4,5.0
9,19,2022-07-13T22:55:19.296877,10,2.7
10,13,2022-07-13T22:55:19.296877,10,5.4
5,14,2022-07-13T22:55:19.296877,10,6.7
6,11,2022-07-13T22:55:19.296877,10,3.7
6,15,2022-07-13T22:55:19.296877,10,9.0
