clicks,impressions,datetime,quantity,total_price
7,18,2022-07-13T22:57:14.564761,5,1.1
5,17,2022-07-13T22:57:14.564761,6,6.8999999999999995
7,13,2022-07-13T22:57:14.564761,2,2.5
1,15,2022-07-13T22:57:14.564761,10,1.9
8,10,2022-07-13T22:57:14.564761,1,1.2
3,17,2022-07-13T22:57:14.564761,2,9.399999999999999
5,20,2022-07-13T22:57:14.564761,6,5.699999999999999
2,16,2022-07-13T22:57:14.564761,1,1.7000000000000002
7,17,2022-07-13T22:57:14.564761,3,5.6000000000000005
4,20,2022-07-13T22:57:14.564761,10,1.6
8,16,2022-07-13T22:57:09.548160,3,4.1
2,12,2022-07-13T22:57:09.548160,2,1.6
2,20,2022-07-13T22:57:09.548160,1,5.699999999999999
10,17,2022-07-13T22:57:09.548160,4,1.5
8,11,2022-07-13T22:57:09.548160,7,9.200000000000001
10,16,2022-07-13T22:57:09.548160,5,7.3
6,17,2022-07-13T22:57:09.548160,3,4.0
6,19,2022-07-13T22:57:09.549160,4,6.6000000000000005
1,11,2022-07-13T22:57:09.549160,7,3.4000000000000004
1,19,2022-07-13T22:57:09.549160,1,2.9
10,19,2022-07-13T22:57:29.594070,7,5.0
7,18,2022-07-13T22:57:29.594070,7,5.300000000000001
4,14,2022-07-13T22:57:29.594070,6,8.7
5,10,2022-07-13T22:57:29.594070,7,2.5
3,10,2022-07-13T22:57:29.594070,1,0.7000000000000001
1,20,2022-07-13T22:57:29.594070,6,2.0
2,17,2022-07-13T22:57:29.594070,10,5.8999999999999995
9,14,2022-07-13T22:57:29.594070,9,7.800000000000001
4,13,2022-07-13T22:57:29.594070,1,2.6
7,17,2022-07-13T22:57:29.594070,5,4.5
7,13,2022-07-13T22:56:54.516976,3,2.9
6,13,2022-07-13T22:56:54.517127,5,4.699999999999999
8,11,2022-07-13T22:56:54.517127,6,9.399999999999999
3,16,2022-07-13T22:56:54.517127,2,6.5
2,10,2022-07-13T22:56:54.517127,8,5.8
1,18,2022-07-13T22:56:54.517127,3,4.5
9,11,2022-07-13T22:56:54.517127,8,1.2
1,14,2022-07-13T22:56:54.517127,8,2.3000000000000003
5,12,2022-07-13T22:56:54.517127,10,6.8999999999999995
8,11,2022-07-13T22:56:54.517127,6,2.4
7,20,2022-07-13T22:57:34.615504,5,4.5
9,17,2022-07-13T22:57:34.615504,3,8.2
10,14,2022-07-13T22:57:34.616503,6,1.0
8,18,2022-07-13T22:57:34.616503,2,5.8999999999999995
1,16,2022-07-13T22:57:34.616503,3,6.2
8,20,2022-07-13T22:57:34.617501,5,5.0
10,10,2022-07-13T22:57:34.618524,3,7.800000000000001
5,16,2022-07-13T22:57:34.619498,1,1.3
6,18,2022-07-13T22:57:34.619498,10,0.6
4,10,2022-07-13T22:57:34.619498,5,7.199999999999999
10,18,2022-07-13T22:57:04.538284,7,3.9000000000000004
5,10,2022-07-13T22:57:04.538284,9,6.5
4,10,2022-07-13T22:57:04.538284,9,6.8999999999999995
8,13,2022-07-13T22:57:04.538284,3,1.9
5,18,2022-07-13T22:57:04.538284,9,2.5
6,19,2022-07-13T22:57:04.538284,5,7.0
8,12,2022-07-13T22:57:04.538284,2,2.2
3,20,2022-07-13T22:57:04.538284,4,4.3
8,12,2022-07-13T22:57:04.538284,1,5.300000000000001
5,18,2022-07-13T22:57:04.538284,1,4.8
1,17,2022-07-13T22:57:24.582068,5,8.6
9,18,2022-07-13T22:57:24.583066,10,0.6
5,19,2022-07-13T22:57:24.583066,5,6.8999999999999995
2,20,2022-07-13T22:57:24.584073,6,4.3
5,13,2022-07-13T22:57:24.584073,3,5.300000000000001
5,20,2022-07-13T22:57:24.584073,1,2.1
8,10,2022-07-13T22:57:24.584073,10,3.2
10,14,2022-07-13T22:57:24.584073,6,7.5
4,11,2022-07-13T22:57:24.584073,5,9.6
7,18,2022-07-13T22:57:24.584073,7,8.7
8,20,2022-07-13T22:56:59.524492,5,5.5
2,14,2022-07-13T22:56:59.524492,9,0.1
8,14,2022-07-13T22:56:59.524492,7,6.5
2,18,2022-07-13T22:56:59.524492,1,5.300000000000001
6,14,2022-07-13T22:56:59.524492,7,4.4
9,15,2022-07-13T22:56:59.524492,1,6.4
1,14,2022-07-13T22:56:59.524492,7,3.0
4,10,2022-07-13T22:56:59.524492,7,7.6
4,20,2022-07-13T22:56:59.524492,6,0.1
2,17,2022-07-13T22:56:59.524492,3,1.7000000000000002
9,17,2022-07-13T22:57:19.576965,4,3.5
9,11,2022-07-13T22:57:19.576965,1,9.9
4,16,2022-07-13T22:57:19.576965,5,4.1
10,13,2022-07-13T22:57:19.576965,2,5.300000000000001
3,13,2022-07-13T22:57:19.576965,9,7.3
7,16,2022-07-13T22:57:19.576965,4,6.3
10,14,2022-07-13T22:57:19.576965,10,8.4
8,18,2022-07-13T22:57:19.576965,5,9.0
7,20,2022-07-13T22:57:19.576965,5,7.5
9,12,2022-07-13T22:57:19.576965,5,5.1
