clicks,impressions,datetime,quantity,total_price
10,16,2022-07-13T22:59:50.041258,3,1.7999999999999998
5,12,2022-07-13T22:59:50.041258,2,5.699999999999999
3,19,2022-07-13T22:59:50.041258,8,4.3
3,15,2022-07-13T22:59:50.041258,7,8.4
3,11,2022-07-13T22:59:50.041258,3,9.200000000000001
5,17,2022-07-13T22:59:50.041258,5,0.3
1,11,2022-07-13T22:59:50.041258,6,0.3
10,10,2022-07-13T22:59:50.041258,1,2.8000000000000003
6,13,2022-07-13T22:59:50.041258,10,5.8999999999999995
8,16,2022-07-13T22:59:50.041258,2,6.8999999999999995
4,11,2022-07-13T22:59:09.959597,7,4.699999999999999
2,11,2022-07-13T22:59:09.959597,2,7.199999999999999
7,14,2022-07-13T22:59:09.959597,10,9.7
2,15,2022-07-13T22:59:09.959597,1,3.5
7,15,2022-07-13T22:59:09.959597,10,4.0
10,18,2022-07-13T22:59:09.959597,9,4.5
10,11,2022-07-13T22:59:09.959597,8,5.6000000000000005
5,13,2022-07-13T22:59:09.959597,6,1.1
9,15,2022-07-13T22:59:09.959597,3,4.9
2,11,2022-07-13T22:59:09.959597,8,6.8999999999999995
4,17,2022-07-13T22:59:04.945450,7,9.1
7,15,2022-07-13T22:59:04.945450,10,7.4
3,10,2022-07-13T22:59:04.945450,9,4.0
10,14,2022-07-13T22:59:04.945450,1,8.100000000000001
6,16,2022-07-13T22:59:04.945450,5,6.0
2,10,2022-07-13T22:59:04.945450,4,1.5
8,14,2022-07-13T22:59:04.945450,1,3.9000000000000004
3,17,2022-07-13T22:59:04.945450,8,3.2
10,14,2022-07-13T22:59:04.945450,3,8.100000000000001
7,18,2022-07-13T22:59:04.945450,2,1.7000000000000002
3,12,2022-07-13T22:59:14.971271,4,9.8
5,20,2022-07-13T22:59:14.971271,3,9.9
1,17,2022-07-13T22:59:14.971271,8,1.4000000000000001
6,17,2022-07-13T22:59:14.971271,4,9.399999999999999
10,17,2022-07-13T22:59:14.971271,6,5.300000000000001
2,12,2022-07-13T22:59:14.971271,4,4.2
9,15,2022-07-13T22:59:14.971271,3,8.9
3,19,2022-07-13T22:59:14.971271,9,8.4
8,16,2022-07-13T22:59:14.971271,3,0.5
10,12,2022-07-13T22:59:14.971271,3,0.7000000000000001
8,17,2022-07-13T22:59:35.003872,2,0.7000000000000001
9,16,2022-07-13T22:59:35.003872,1,0.2
7,17,2022-07-13T22:59:35.003872,1,4.2
6,15,2022-07-13T22:59:35.003872,9,8.5
1,20,2022-07-13T22:59:35.003872,9,0.8
4,15,2022-07-13T22:59:35.003872,5,0.8999999999999999
3,19,2022-07-13T22:59:35.003872,5,2.5
3,19,2022-07-13T22:59:35.003872,9,5.699999999999999
6,14,2022-07-13T22:59:35.003872,8,2.6
8,14,2022-07-13T22:59:35.003872,1,2.3000000000000003
1,16,2022-07-13T22:59:40.018887,8,2.8000000000000003
8,20,2022-07-13T22:59:40.018887,8,3.3000000000000003
8,13,2022-07-13T22:59:40.018887,4,0.1
4,12,2022-07-13T22:59:40.018887,2,2.1
9,12,2022-07-13T22:59:40.018887,5,4.1
3,11,2022-07-13T22:59:40.018887,3,5.699999999999999
9,11,2022-07-13T22:59:40.018887,6,1.1
5,16,2022-07-13T22:59:40.018887,4,4.6000000000000005
9,18,2022-07-13T22:59:40.018887,7,9.3
8,17,2022-07-13T22:59:40.018887,7,7.0
10,19,2022-07-13T22:59:55.046244,3,7.5
6,15,2022-07-13T22:59:55.046244,3,1.9
6,13,2022-07-13T22:59:55.046244,7,2.1
9,17,2022-07-13T22:59:55.046244,9,4.4
10,11,2022-07-13T22:59:55.046244,5,9.1
5,12,2022-07-13T22:59:55.046244,3,5.300000000000001
4,14,2022-07-13T22:59:55.046244,5,0.7000000000000001
6,17,2022-07-13T22:59:55.046244,9,7.9
8,13,2022-07-13T22:59:55.047286,7,1.0
8,19,2022-07-13T22:59:55.047286,5,8.0
3,14,2022-07-13T22:59:29.994797,4,4.1
4,10,2022-07-13T22:59:29.994797,7,8.9
2,19,2022-07-13T22:59:29.994797,3,6.3
5,18,2022-07-13T22:59:29.994797,6,5.8999999999999995
6,13,2022-07-13T22:59:29.994797,10,8.2
3,10,2022-07-13T22:59:29.994797,5,4.2
10,10,2022-07-13T22:59:29.994797,8,4.8
6,16,2022-07-13T22:59:29.994797,8,9.8
9,17,2022-07-13T22:59:29.994797,4,6.5
7,10,2022-07-13T22:59:29.994797,10,0.4
6,14,2022-07-13T22:59:45.031723,10,0.7000000000000001
2,11,2022-07-13T22:59:45.032733,2,7.0
5,17,2022-07-13T22:59:45.032733,9,9.3
8,10,2022-07-13T22:59:45.032733,8,9.0
7,19,2022-07-13T22:59:45.032733,4,7.9
6,18,2022-07-13T22:59:45.032733,1,5.5
10,19,2022-07-13T22:59:45.032733,5,7.7
10,15,2022-07-13T22:59:45.032733,7,0.5
1,15,2022-07-13T22:59:45.032733,2,1.6
5,18,2022-07-13T22:59:45.032733,6,6.3
8,11,2022-07-13T22:59:19.979098,8,4.8
1,11,2022-07-13T22:59:19.979231,5,8.7
5,17,2022-07-13T22:59:19.979231,10,6.5
1,13,2022-07-13T22:59:19.979231,6,5.8999999999999995
3,16,2022-07-13T22:59:19.979231,10,3.5
2,20,2022-07-13T22:59:19.979231,2,4.4
2,18,2022-07-13T22:59:19.979231,3,7.1
4,18,2022-07-13T22:59:19.979231,2,6.4
2,20,2022-07-13T22:59:19.979231,9,1.3
8,17,2022-07-13T22:59:19.979231,1,3.2
1,14,2022-07-13T22:59:24.987997,9,6.0
3,17,2022-07-13T22:59:24.987997,1,4.5
7,11,2022-07-13T22:59:24.987997,6,0.4
5,12,2022-07-13T22:59:24.987997,2,3.1
4,17,2022-07-13T22:59:24.987997,2,0.2
8,15,2022-07-13T22:59:24.987997,8,0.2
5,20,2022-07-13T22:59:24.987997,8,0.7000000000000001
9,14,2022-07-13T22:59:24.987997,7,6.3
8,13,2022-07-13T22:59:24.987997,1,8.2
7,12,2022-07-13T22:59:24.987997,8,6.7
