clicks,impressions,datetime,quantity,total_price
5,17,2022-07-13T23:02:30.486661,4,0.7000000000000001
6,11,2022-07-13T23:02:30.487734,9,2.2
3,18,2022-07-13T23:02:30.488848,6,9.8
2,15,2022-07-13T23:02:30.488848,7,10.0
9,20,2022-07-13T23:02:30.490849,3,1.9
5,16,2022-07-13T23:02:30.490849,1,6.6000000000000005
2,16,2022-07-13T23:02:30.490849,3,9.200000000000001
5,20,2022-07-13T23:02:30.491159,1,5.300000000000001
4,15,2022-07-13T23:02:30.491159,3,3.3000000000000003
9,15,2022-07-13T23:02:30.491684,2,4.3
2,13,2022-07-13T23:02:45.516423,4,1.7000000000000002
8,15,2022-07-13T23:02:45.516423,7,9.7
10,11,2022-07-13T23:02:45.516423,3,9.5
10,14,2022-07-13T23:02:45.516423,1,3.8
9,11,2022-07-13T23:02:45.516423,8,3.5999999999999996
1,12,2022-07-13T23:02:45.516423,2,9.7
4,11,2022-07-13T23:02:45.516423,2,0.4
6,17,2022-07-13T23:02:45.516423,8,0.3
6,18,2022-07-13T23:02:45.516423,6,6.6000000000000005
9,13,2022-07-13T23:02:45.516423,2,8.100000000000001
7,15,2022-07-13T23:02:35.504553,10,8.8
8,18,2022-07-13T23:02:35.504553,8,1.1
8,17,2022-07-13T23:02:35.504553,3,5.5
2,13,2022-07-13T23:02:35.504553,9,4.6000000000000005
9,10,2022-07-13T23:02:35.504553,2,0.3
2,12,2022-07-13T23:02:35.504553,1,8.299999999999999
4,10,2022-07-13T23:02:35.504553,3,3.8
8,15,2022-07-13T23:02:35.504553,2,4.699999999999999
7,13,2022-07-13T23:02:35.504553,4,4.5
8,11,2022-07-13T23:02:35.504553,5,1.7999999999999998
2,12,2022-07-13T23:02:25.471753,2,5.699999999999999
6,10,2022-07-13T23:02:25.471753,4,0.5
3,18,2022-07-13T23:02:25.471753,7,2.8000000000000003
8,17,2022-07-13T23:02:25.471753,7,6.7
10,18,2022-07-13T23:02:25.471753,4,6.2
2,14,2022-07-13T23:02:25.471753,2,0.2
2,15,2022-07-13T23:02:25.471753,2,4.3
6,10,2022-07-13T23:02:25.471753,5,9.9
6,13,2022-07-13T23:02:25.471753,5,4.8
8,15,2022-07-13T23:02:25.471753,4,0.6
8,10,2022-07-13T23:02:50.533470,10,4.0
8,10,2022-07-13T23:02:50.533470,7,9.7
9,12,2022-07-13T23:02:50.533470,7,1.0
5,19,2022-07-13T23:02:50.533470,9,8.2
9,16,2022-07-13T23:02:50.533470,2,8.4
7,12,2022-07-13T23:02:50.533470,3,9.200000000000001
8,10,2022-07-13T23:02:50.533470,5,6.800000000000001
9,18,2022-07-13T23:02:50.533470,5,5.4
2,17,2022-07-13T23:02:50.533470,7,7.7
1,13,2022-07-13T23:02:50.533470,2,3.0
2,12,2022-07-13T23:02:40.512513,6,9.7
1,15,2022-07-13T23:02:40.512513,5,0.6
1,18,2022-07-13T23:02:40.512624,10,2.7
4,17,2022-07-13T23:02:40.512624,6,7.0
10,12,2022-07-13T23:02:40.512624,6,0.8
2,16,2022-07-13T23:02:40.512624,2,3.5
6,17,2022-07-13T23:02:40.512624,3,0.8999999999999999
6,20,2022-07-13T23:02:40.512624,8,3.7
3,12,2022-07-13T23:02:40.512624,1,4.3
4,10,2022-07-13T23:02:40.512624,10,2.1
