clicks,impressions,datetime,quantity,total_price
3,18,2022-07-13T20:37:27.306Z,2,0.0
6,14,2022-07-13T20:37:27.306Z,6,5.5
9,12,2022-07-13T20:37:27.306Z,10,9.8
2,17,2022-07-13T20:37:27.306Z,1,4.5
1,13,2022-07-13T20:37:27.306Z,5,5.2
4,15,2022-07-13T20:37:27.306Z,3,7.3
1,14,2022-07-13T20:37:27.306Z,7,4.2
10,15,2022-07-13T20:37:27.306Z,9,5.4
7,19,2022-07-13T20:37:27.306Z,6,3.2
5,19,2022-07-13T20:37:27.306Z,10,0.0
6,13,2022-07-13T20:35:02.012Z,5,9.1
7,20,2022-07-13T20:35:02.012Z,6,1.1
2,19,2022-07-13T20:35:02.012Z,1,1.1
5,10,2022-07-13T20:35:02.012Z,1,1.9
4,19,2022-07-13T20:35:02.012Z,10,1.5
2,20,2022-07-13T20:35:02.012Z,8,5.0
10,10,2022-07-13T20:35:02.012Z,8,6.2
4,12,2022-07-13T20:35:02.012Z,1,1.3
3,18,2022-07-13T20:35:02.012Z,1,8.2
9,11,2022-07-13T20:35:02.012Z,4,3.1
9,17,2022-07-13T20:35:07.023Z,9,8.4
6,19,2022-07-13T20:35:07.023Z,10,6.4
9,17,2022-07-13T20:35:07.023Z,3,7.3
6,18,2022-07-13T20:35:07.023Z,3,2.9
1,17,2022-07-13T20:35:07.023Z,6,4.4
5,11,2022-07-13T20:35:07.023Z,1,9.0
10,19,2022-07-13T20:35:07.023Z,7,1.1
2,16,2022-07-13T20:35:07.023Z,4,7.5
3,13,2022-07-13T20:35:07.023Z,6,1.3
4,20,2022-07-13T20:35:07.023Z,4,7.4
